MISMATCH,Channel,Date,Start Time,Program Name - protrack,Nola Episode - protrack,Program Name - pbs,Nola Episode - pbs,Episode Name - pbs,Description - pbs
,9.1,2025-03-21,17:00:00,Bbc News America,#1050,BBC News America,,,"Live news program produced out of BBC's Washington, D.C. bureau; host Sumi Somaskanda."
,9.1,2025-03-21,17:30:00,Bbc News The Context,#1050,BBC News The Context,,,"A regular panel of guests from across the political spectrum discuss the biggest international stories of the day, along with news-making interviews and analysis from BBC correspondents around the globe."
YES,9.1,2025-03-21,18:00:00,The Pbs News Hour,#14690,PBS News Hour,,,Co-anchors Amna Nawaz and Geoff Bennett and correspondents offer in-depth analysis of current events.
,9.1,2025-03-21,19:00:00,Washington Week with the Atlantic,#6438,Washington Week With The Atlantic,,,"Jeffrey Goldberg, editor in chief of The Atlantic, moderates a panel of journalists who report and provide analysis on the major stories emanating from the United States capital. Having first aired in 1967, ""Washington Week"" is the longest-running prime-time news and public affairs program on television. The series has been recognized for its journalism excellence with many honors, including a 2008 Peabody Award."
,9.1,2025-03-21,19:30:00,Firing Line with Margaret Hoover,#838,Firing Line With Margaret Hoover,,,Margaret Hoover leads interviews and debates.
,9.1,2025-03-21,20:00:00,Great Performances at the Met,#1901,Great Performances at the Met,,Grounded,"Opera lovers, rejoice! If you can't make it to New York to see a performance at the Metropolitan Opera, the next best thing to being there is to see one of its Saturday matinees broadcast on PBS. Originally aired as part of its ""Great Performances"" series, the programs got their own title in 2006. With operatic standards like ""Aida,"" ""The Barber of Seville"" and ""Turandot,"" and performances by some of opera's biggest names, including Reneé Flemming, Placido Domingo and Anna Netrebko, the series brings the best of modern opera into American homes."
YES,9.1,2025-03-21,22:30:00,Harpists's Legacy: Ann Hobson Pilot and the Sound of,,A Harpist's Legacy: Ann Hobson Pilot and the Sound of Change,,,"The life and career of Ann Hobson Pilot, former principal harpist for the Boston Symphony Orchestra."
,9.1,2025-03-21,23:00:00,Amanpour and Company,#7190,Amanpour and Company,,,Christiane Amanpour leads discussions about world issues and interviews with global leaders.
,9.1,2025-03-22,00:00:00,Firing Line with Margaret Hoover,#838,Firing Line With Margaret Hoover,,,Margaret Hoover leads interviews and debates.
,9.1,2025-03-22,00:30:00,Great Performances at the Met,#1901,Great Performances at the Met,,Grounded,"Opera lovers, rejoice! If you can't make it to New York to see a performance at the Metropolitan Opera, the next best thing to being there is to see one of its Saturday matinees broadcast on PBS. Originally aired as part of its ""Great Performances"" series, the programs got their own title in 2006. With operatic standards like ""Aida,"" ""The Barber of Seville"" and ""Turandot,"" and performances by some of opera's biggest names, including Reneé Flemming, Placido Domingo and Anna Netrebko, the series brings the best of modern opera into American homes."
,9.1,2025-03-22,03:00:00,Father Brown,#194,Father Brown,#194,The Children of Kalon,Based on the novels of G.K. Chesterton.
,9.1,2025-03-22,04:00:00,On The Record,#809,On the Record,,,"Interviews with key players in San Antonio politics, business, and community activism. Each week also includes a roundtable discussion with local journalists who keep a pulse on important issues impacting the city."
,9.1,2025-03-22,04:30:00,The San Antonio Files,#108,The San Antonio Files,,,
,9.1,2025-03-22,05:00:00,Happy Yoga with Sarah Starr,#211,Happy Yoga With Sarah Starr,#211,Beautiful Bluffs,"Yoga can be challenging, especially for beginners who may be apprehensive about trying something that they think is too daunting. Wanting to help those who are new to the exercise, fitness instructor Sarah Starr created an easier routine. Happy Yoga, as she calls it, is a modified program using chairs that allows people of any age or physical condition to be able to benefit from yoga. ""Happy Yoga"" features Starr performing the chair exercises outside, utilizing serene backdrops that showcase Mother Nature's beauty."
,9.1,2025-03-22,05:30:00,Classical Stretch: By Essentrics,#1523,Classical Stretch: By Essentrics,#1523,Ab and Waist Strengthening,Miranda Esmonde-White offers an exercise program for people of all ages and fitness levels.
,9.1,2025-03-22,06:00:00,Wild Kratts,#139,Wild Kratts,#139,Googly Eye: The Night Guru,"This show follows the adventures of animated versions of brothers Chris and Martin Kratt, hosts of such educational shows as ""Kratts' Creatures"" and ""Zoboomafoo."" In the show, the animated Kratts encounter wild animals during stories of adventure and mystery. The live-action Kratt brothers introduce each episode."
,9.1,2025-03-22,06:30:00,Alma's Way,#126,Alma's Way,#126,Almas Cat-tastrophe; Stickball,"Six-year old Alma, a Puerto Rican girl who lives with her family in the Bronx, learns to think for herself, making mistakes and finding solutions along the way."
,9.1,2025-03-22,07:00:00,Lyla in the Loop,#123,Lyla in the Loop,#123,Lyla Gets a Grip; Rappin' Riddles,Seven-year-old Lyla and her close-knit family address everyday problems together in the big city.
,9.1,2025-03-22,07:30:00,Carl The Collector,#107,Carl the Collector,#107,The Remote Control Collection; The Super Blue Moon Sleepover,"The everyday adventures of Carl, an autistic raccoon, who loves collecting things."
,9.1,2025-03-22,08:00:00,Fons & Porter's Love of Quilting,#4112,Fons & Porter's Love of Quilting,#4112,Shell Crossing,"Hosts Sara Gallegos and Angela Huffman work with guests to explore quilting ideas, both old and new, in this series from Iowa Public Television. Whether a beginner or an expert, quilters of all levels will learn something from the tips, techniques and designs featured on this show. Segments from the series include two quilts that feature a diagonally set log cabin design, a small quilt constructed with English paper piecing, a breakdown of a medallion-style quilt into simple lessons, and how to resize a quilt block into larger and smaller versions."
,9.1,2025-03-22,08:30:00,Fit 2 Stitch,#1309,Fit 2 Stitch,,Easy Alterations,"Concentrating on design, fit and stitching, this series hosted by Peggy Sagers offers sewing tips for anyone who has a desire to fit and sew clothing. Episodes focus on the rules of making patterns and how they apply to preparing a garment for stitching. Projects range from ones that require just a single stitch to more elaborate items such as pants, sleeves, tank tops and wrap dresses. Other segments include how to make a cape, use zippers and sew a half-circle skirt."
,9.1,2025-03-22,09:00:00,Samantha Brown's Places to Love,#809,Samantha Brown's Places to Love,,Route 66 -- Missouri to Oklahoma,"Samantha Brown explores the emotional heart of travel and the people who change, challenge and strengthen a destination."
YES,9.1,2025-03-22,09:30:00,Daytripper,#1411,The Daytripper,#1411,"Big Spring, TX","This six-time Emmy Award-winning travel series centers on one-day adventures exploring the food, culture and history of Texas towns. From Abilene to Wimberley, host Chet Garner covers well-known landmarks as well as obscure dives and hideaways all throughout the Lone Star state. Some destinations include the National Museum of the Pacific War in Fredericksburg; Texas Motor Speedway in Fort Worth; a mountaintop classroom in Alpine, Texas; Big Bend National Park; and a visit to the oldest deli in Texas."
,9.1,2025-03-22,10:00:00,Outside: Beyond The Lens,#107,Outside: Beyond the Lens,#107,Utah Overland,Exploring America's national parks and scenic wonders around the world.
,9.1,2025-03-22,10:30:00,Rick Steves' Europe,#1204,Rick Steves' Europe,#1204,Rick Steves' Europe: Art of the Roman Empire,"Rick Steves' guidebooks, public-radio program and numerous television series have made him an essential resource for travelers wishing to explore Europe. This program finds the knowledgeable host offering globetrotters a fresh perspective on lodgings, transportation and places to visit on their journeys. One thing that hasn't changed, however, is Steves' belief that travelers should become ""temporary locals,"" exploring not only major cities and the usual sites, but out-of-the-way locales that often produce the most authentic, and enjoyable, experiences of a trip."
,9.1,2025-03-22,11:00:00,Christopher Kimball's Milk Street Television,#823,Christopher Kimball's Milk Street Television,#823,Chicken Paprikash,Christopher Kimball demonstrates a bolder yet simpler way of preparing food.
,9.1,2025-03-22,11:30:00,Milk Street's My Family Recipe,#108,Milk Street's My Family Recipe,#108,Tatiana's Sauerkraut Soup,"With a combination of historical context and modern culinary know-how, chefs Christopher Kimball and Cheryl Day help home cooks recreate lost or forgotten cherished family recipes."
,9.1,2025-03-22,12:00:00,Christina Cooks: Back to the Cutting Board,#210,Christina Cooks: Back to the Cutting Board,#210,Cook Your Way to the Life You Want,"Healthy, fresh Italian and Mediterranean recipes from Christina Pirello."
YES,9.1,2025-03-22,12:30:00,Key Ingredient with Sheri Castle,#207,The Key Ingredient with Sheri Castle,#207,Warming Up to Hot Peppers,Sheri Castle offers favorite recipes from her kitchen and the stories behind featured ingredients.
,9.1,2025-03-22,13:00:00,This Old House,#4616,This Old House,,Ridgewood: Colonial Revival With Modern Flair,This Emmy-winning home-improvement series takes the mystery and fright factors out of remodeling and carpentry chores.
,9.1,2025-03-22,13:30:00,Ask This Old House,#2316,Ask This Old House,,Stair Treads; Sconce Install,"Created by viewer demand, the series is a spinoff of ""This Old House"" and answers specific remodeling questions that viewers send in. The cast includes host Kevin O'Connor, general contractor Tom Silva, heating/plumbing master Richard Trethewey and landscaper Roger Cook, who spend the hour focusing on various topics for the do-it-yourself homeowner."
YES,9.1,2025-03-22,14:00:00,America's Test Kitchen,#1909,America's Test Kitchen From Cook's Illustrated,#1909,Chicken and Biscuits,"Bridget Lancaster and Julia Collin Davison host a look inside America's Test Kitchen, which features a team of experts who check out the latest in cooking utensils, ingredients and cooking techniques. Whether they're trying to make the perfect roasted chicken with crispy skin or examining the science behind cooking with baking powder, team members try to offer unbiased and useful tips that can save viewers money, time and effort in their own kitchens. The basic team is frequently joined by other test cooks, as well as blind-taste judges."
,9.1,2025-03-22,14:30:00,Cook's Country,#1308,Cook's Country,#1308,Italian Comfort Food,"Hosts Bridget Lancaster and Julia Collin Davison offer a practical, no-nonsense and scientific approach to making a wide range of American recipes, from barbecue chicken thighs to Mississippi mud pie to parmesan potatoes. The hosts are joined by test cooks Ashley Moore, Bryan Roof, Christie Morrison, Lawman Johnson, and Natalie Estrada. Episodes include equipment recommendations for the home cook, taste tests and origins for new recipes such as Southern-style smothered chicken, grilled bourbon steaks and many more."
,9.1,2025-03-22,15:00:00,Lidia's Kitchen,#1219,Lidia's Kitchen,#1219,Cook Together,"Daytime Emmy-winning chef Lidia Bastianich prepares simple, seasonal and economical dishes in this 26-episode series presented by WGBH. With tips and techniques collected over the years, Lidia prepares everything from apple cider-braised pork shoulder and salmon with mustard sauce to lentil country salad and Grandma Rosa's apple cake. Lidia's passion for cooking shines in every episode, where she teaches viewers how to draw on their own roots to create a sense of home in the kitchen."
,9.1,2025-03-22,15:30:00,Pati's Mexican Table,#505,Pati's Mexican Table,#505,Campeche -- Tale of a Pirate City,"Chef Pati Jinich introduces authentic Mexican flavors, colors and textures into American kitchens. Each episode features a single Mexican food, ranging from familiar ingredients like vanilla to mysterious grains used by the Aztecs. Season 8 explores simple and delectable dishes from both Mexico and the United States, including street food, a seafood feast, taco recipes, lobster recipes, and a breakfast based on Sinaloan classics."
,9.1,2025-03-22,16:00:00,Sara's Weeknight Meals,#1307,Sara's Weeknight Meals,#1307,Which Came First?,"Chef, cookbook author and TV host Sara Moulton presents helpful hints for preparing quick and easy healthy meals at home. Episodes feature ideas for Sunday suppers, for one-pot meals, and for preparing flavor-packed meals using only five ingredients. Some recipes include pork tournedos with sage and prosciutto, steamed mussels in curried coconut broth, a fried-catfish bacon/lettuce/tomato sandwich, and a salad of grilled-salmon, arugula and grilled corn."
,9.1,2025-03-22,16:30:00,Samantha Brown's Places to Love,#809,Samantha Brown's Places to Love,,Route 66 -- Missouri to Oklahoma,"Samantha Brown explores the emotional heart of travel and the people who change, challenge and strengthen a destination."
YES,9.1,2025-03-22,17:00:00,Pbs Newshour Weekend,#2275,PBS News Weekend,,,"Analysis of national and international news, as well as in-depth reporting on topics ranging from education and politics to technology and finance."
,9.1,2025-03-22,17:30:00,On The Record,#809,On the Record,,,"Interviews with key players in San Antonio politics, business, and community activism. Each week also includes a roundtable discussion with local journalists who keep a pulse on important issues impacting the city."
,9.1,2025-03-22,18:00:00,Father Brown,#194,Father Brown,#194,The Children of Kalon,Based on the novels of G.K. Chesterton.
YES,9.1,2025-03-22,19:00:00,Keeping Up Appearances - The Memoirs of Hyacinth Bucket,,Keeping Up Appearances,#102,The New Vicar,"Hyacinth Bucket (pronounced Bouquet, if you please) lives to impress. And she has no patience for people who pretend to be superior -- because that makes it ""so much harder for those of us who really are."" Assured of her own eminence, she spends her days trying to make sure everyone else is, too. Her down-market sisters, Rose and Daisy, are a challenge, but she's always willing to talk about her rich sister Violet. Violet's eccentric, cross-dressing husband, not so much."
YES,9.1,2025-03-22,19:30:00,Keeping Up Appearances - The Memoirs of Hyacinth Bucket,,Keeping Up Appearances,#103,Stately Home,"Hyacinth Bucket (pronounced Bouquet, if you please) lives to impress. And she has no patience for people who pretend to be superior -- because that makes it ""so much harder for those of us who really are."" Assured of her own eminence, she spends her days trying to make sure everyone else is, too. Her down-market sisters, Rose and Daisy, are a challenge, but she's always willing to talk about her rich sister Violet. Violet's eccentric, cross-dressing husband, not so much."
,9.1,2025-03-22,20:00:00,Midsomer Murders,#203,Midsomer Murders,#203,Strangler's Wood: Part 1,"Based on the crime-novel series by author Caroline Graham, ""Midsomer Murders"" follows the efforts of Detective Chief Inspector John Barnaby to solve crimes that occur in the wealthy, isolated English county of Midsomer, a picturesque and peaceful place on the outside but one filled with amoral and snobbish eccentrics with all kinds of vices. His latest assistant is Detective Sergeant Jamie Winter. DCI Barnaby took over in series 14, replacing his older cousin, Chief Inspector Tom Barnaby, who retired."
YES,9.1,2025-03-22,20:46:00,,,Midsomer Murders,#204,Strangler's Wood: Part 2,"Based on the crime-novel series by author Caroline Graham, ""Midsomer Murders"" follows the efforts of Detective Chief Inspector John Barnaby to solve crimes that occur in the wealthy, isolated English county of Midsomer, a picturesque and peaceful place on the outside but one filled with amoral and snobbish eccentrics with all kinds of vices. His latest assistant is Detective Sergeant Jamie Winter. DCI Barnaby took over in series 14, replacing his older cousin, Chief Inspector Tom Barnaby, who retired."
YES,9.1,2025-03-22,20:46:19,Midsomer Murders,#204,,,,
,9.1,2025-03-22,22:00:00,Death In Paradise,#155,Death in Paradise,#155,Dark Memories,A detective inspector is transferred from London to the island of Saint-Marie in the Caribbean.
,9.1,2025-03-22,23:00:00,Austin City Limits,#5006,Austin City Limits,#5006,Jelly Roll; The War and Treaty,"This long-running concert series features artists from every musical genre in a live-music setting. Originally created to shine a spotlight on original Texas music, the show has expanded its boundaries to encompass a wide range of styles and artists, featuring notables such as Pearl Jam, Elvis Costello, Johnny Cash and Neil Young."
,9.1,2025-03-23,00:00:00,Nature,#4003,Nature,#4003,The Elephant and the Termite,"Consistently stunning documentaries transport viewers to far-flung locations ranging from the torrid African plains to the chilly splendors of icy Antarctica. The show's primary focus is on animals and ecosystems around the world. A comic book based on the show, meant to be used an as educational tool for kids, was briefly distributed to museums and schools at no cost in the mid-2000s."
,9.1,2025-03-23,01:00:00,Nova,#5103,NOVA,#5103,Building the Eiffel Tower,"This long-running, award-winning documentary series focuses on science, its many applications, speculation, history and researchers. Inspired by the BBC documentary program ""Horizons, "" the U.S. series frequently features interviews with scientists directly involved in the topic at hand, and sometimes even boasts footage of a particular discovery."
,9.1,2025-03-23,02:00:00,Weathered: Inside The La Firestorm,#0,Weathered: Inside the LA Firestorm,,,"Experts and survivors talk about the events that led to the Los Angeles wildfires, and what can be done to save lives and homes in the future; host Maiya May."
,9.1,2025-03-23,03:00:00,On The Record,#809,On the Record,,,"Interviews with key players in San Antonio politics, business, and community activism. Each week also includes a roundtable discussion with local journalists who keep a pulse on important issues impacting the city."
,9.1,2025-03-23,03:30:00,The San Antonio Files,#108,The San Antonio Files,,,
,9.1,2025-03-23,04:00:00,Washington Week with the Atlantic,#6438,Washington Week With The Atlantic,,,"Jeffrey Goldberg, editor in chief of The Atlantic, moderates a panel of journalists who report and provide analysis on the major stories emanating from the United States capital. Having first aired in 1967, ""Washington Week"" is the longest-running prime-time news and public affairs program on television. The series has been recognized for its journalism excellence with many honors, including a 2008 Peabody Award."
,9.1,2025-03-23,04:30:00,Firing Line with Margaret Hoover,#838,Firing Line With Margaret Hoover,,,Margaret Hoover leads interviews and debates.
,9.1,2025-03-23,05:00:00,Happy Yoga with Sarah Starr,#212,Happy Yoga With Sarah Starr,#212,Waterfall,"Yoga can be challenging, especially for beginners who may be apprehensive about trying something that they think is too daunting. Wanting to help those who are new to the exercise, fitness instructor Sarah Starr created an easier routine. Happy Yoga, as she calls it, is a modified program using chairs that allows people of any age or physical condition to be able to benefit from yoga. ""Happy Yoga"" features Starr performing the chair exercises outside, utilizing serene backdrops that showcase Mother Nature's beauty."
,9.1,2025-03-23,05:30:00,Classical Stretch: By Essentrics,#1207,Classical Stretch: By Essentrics,#1207,Posture,Miranda Esmonde-White offers an exercise program for people of all ages and fitness levels.
,9.1,2025-03-23,06:00:00,Wild Kratts,#129,Wild Kratts,#129,Seasquatch,"This show follows the adventures of animated versions of brothers Chris and Martin Kratt, hosts of such educational shows as ""Kratts' Creatures"" and ""Zoboomafoo."" In the show, the animated Kratts encounter wild animals during stories of adventure and mystery. The live-action Kratt brothers introduce each episode."
,9.1,2025-03-23,06:30:00,Alma's Way,#205,Alma's Way,#205,The Missing Vote; Alma's Lemonade and Everything Else Stand,"Six-year old Alma, a Puerto Rican girl who lives with her family in the Bronx, learns to think for herself, making mistakes and finding solutions along the way."
,9.1,2025-03-23,07:00:00,Lyla in the Loop,#124,Lyla in the Loop,#124,The Artist Formerly Known as Liana; Jamaica Day,Seven-year-old Lyla and her close-knit family address everyday problems together in the big city.
,9.1,2025-03-23,07:30:00,Carl The Collector,#109,Carl the Collector,#109,The Magic Trick Collection; Listen Coach,"The everyday adventures of Carl, an autistic raccoon, who loves collecting things."
,9.1,2025-03-23,08:00:00,Daniel Tiger's Neighborhood,#306,Daniel Tiger's Neighborhood,#306,Daniel and Margaret Play School; Treasure Hunt at the Castle,"The first series inspired by ""Mister Rogers Neighborhood,"" ""Daniel Tiger's Neighborhood"" features 4-year-old Daniel Tiger, son of the original program's Daniel Striped Tiger. Every day Daniel puts on his red sweater, ties his shoes, and invites a new generation of preschoolers into the Neighborhood of Make-Believe. Daniel shares his daily adventures with pals O the Owl, Katerina Kittycat, Prince Wednesday and Miss Elaina. With the help of Daniel and his friends, preschoolers have fun and learn practical skills necessary for growing and developing."
,9.1,2025-03-23,08:30:00,Rosie's Rules,#114,Rosie's Rules,#114,Iggy's Bedtime; The Great Crystalini,Five-year-old Mexican American Rosie Fuentes learns how the world around her works in her suburban Texas community.
,9.1,2025-03-23,09:00:00,Sesame Street,#5403,Sesame Street,#5403,Proud of My Name,"A longtime favorite of children and adults, and a staple of PBS, ""Sesame Street"" bridges many cultural and educational gaps with a fun program. Big Bird leads a cast of characters teaching children numbers, colors and the alphabet. Bert and Ernie, Oscar the Grouch and Grover are just a few of the other creatures involved in this show, set on a city street full of valuable learning opportunities."
,9.1,2025-03-23,09:30:00,Work It Out Wombats!,#135,Work It Out Wombats!,,The Great Splendito; The Bike Wash,A playful trio of marsupial siblings look for interesting problems to solve in their Treeborhood.
,9.1,2025-03-23,10:00:00,Central Texas Gardener,#2811,Central Texas Gardener,#2811,Troubles to Terrific,Gardening in central Texas.
,9.1,2025-03-23,10:30:00,Texas Parks and Wildlife,#3320,Texas Parks and Wildlife,,,Each program travels to several destinations around the state of Texas.
,9.1,2025-03-23,11:00:00,Overheard with Evan Smith,#1203,Overheard With Evan Smith,#1203,Noah Hawley,Interviews with public figures.
,9.1,2025-03-23,11:30:00,Washington Week with the Atlantic,#6438,Washington Week With The Atlantic,,,"Jeffrey Goldberg, editor in chief of The Atlantic, moderates a panel of journalists who report and provide analysis on the major stories emanating from the United States capital. Having first aired in 1967, ""Washington Week"" is the longest-running prime-time news and public affairs program on television. The series has been recognized for its journalism excellence with many honors, including a 2008 Peabody Award."
,9.1,2025-03-23,12:00:00,Firing Line with Margaret Hoover,#838,Firing Line With Margaret Hoover,,,Margaret Hoover leads interviews and debates.
,9.1,2025-03-23,12:30:00,Consuelo Mack Wealthtrack,#2138,Consuelo Mack WealthTrack,,,"Financial journalist Consuelo Mack interviews some of the most trusted names in the investment business, along with what she terms ""financial thought leaders"" and big-name investors, all with an eye toward providing viewers with ways to build wealth and protect if over the long term. Mack and her guests deal with stocks, bonds, real estate and even art and collectibles as a means to building wealth. Each guest is asked to make a recommendation as to one stock that should be in a long-term portfolio, and she offers viewers her own Action Point, which is a step anyone can take to work toward building wealth."
,9.1,2025-03-23,13:00:00,On The Record,#809,On the Record,,,"Interviews with key players in San Antonio politics, business, and community activism. Each week also includes a roundtable discussion with local journalists who keep a pulse on important issues impacting the city."
,9.1,2025-03-23,13:30:00,The San Antonio Files,#108,The San Antonio Files,,,
YES,9.1,2025-03-23,14:00:00,Finding Your Roots,#1001,"Finding Your Roots With Henry Louis Gates, Jr.",#1001,Born to Sing,"Educator Henry Louis Gates Jr. has hosted several PBS series that examine U.S. history. In ""Finding Your Roots,"" the Harvard professor continues his quest to ""get into the DNA of American culture."" In each episode, celebrities view ancestral histories, sometimes learn of connections to famous/infamous people, discover secrets, and share the emotional experience with viewers. Analyzing genetic code, DNA diagnosticians trace bloodlines and occasionally debunk long-held beliefs."
,9.1,2025-03-23,15:00:00,Horatio's Drive: America's First Road Trip,#0,Horatio's Drive: America's First Road Trip,,,Filmmaker Ken Burns tells of Horatio Nelson Jackson's 1903 drive from San Francisco to New York in under three months to win a $50 bet.
YES,9.1,2025-03-23,17:00:00,Pbs Newshour Weekend,#2276,PBS News Weekend,,,"Analysis of national and international news, as well as in-depth reporting on topics ranging from education and politics to technology and finance."
YES,9.1,2025-03-23,17:30:00,Dw Focus On Europe,#4313,Focus on Europe,,,Stories and news from across Europe.
,9.1,2025-03-23,18:00:00,Sister Boniface Mysteries,#103,Sister Boniface Mysteries,#103,Love and Other Puzzles,Sister Boniface of Saint Vincent's Convent helps solves crimes in the village of Great Slaughter.
,9.1,2025-03-23,19:00:00,Lucy Worsley Investigates,#204,Lucy Worsley Investigates,#204,Bloody Mary,Lucy Worsley reinvestigates and reveals new evidence about some of British history's biggest unsolved mysteries.
,9.1,2025-03-23,20:00:00,Wolf Hall: The Mirror and the Light On Masterpiece,#5514,Wolf Hall: The Mirror and the Light on Masterpiece,,Wreckage,"Starring Damian Lewis, Mark Rylance and Claire Foy, this series is a six-part adaptation of Hilary Mantel's novels ""Wolf Hall"" and ""Bring Up the Bodies."" The historical drama follows the story of Thomas Cromwell through his rise in social hierarchy. From his humble beginnings as a blacksmith's son, Cromwell becomes King Henry VIII's chief minister. The episodes chronicle his life as he deals with the power struggles of the Tudor Court and a king who has difficulty producing a male heir."
YES,9.1,2025-03-23,21:00:00,Marie Antoinette,#201,Marie-Antoinette,,The Worst Winter,"An exploration of who Marie Antoinette was, what she thought and what she felt; barely 14 years old when she left Austria to marry the Dauphin in France, she tries to comply with numerous and complicated French rules."
,9.1,2025-03-23,22:00:00,The Paris Murders,#207,The Paris Murders,,Predators,Intuitive profiler Chloé Saint-Laurent solves puzzling cases with the Paris homicide division.
,9.1,2025-03-23,23:00:00,Death In Paradise,#155,Death in Paradise,#155,Dark Memories,A detective inspector is transferred from London to the island of Saint-Marie in the Caribbean.
,9.1,2025-03-24,00:00:00,Wolf Hall: The Mirror and the Light On Masterpiece,#5514,Wolf Hall: The Mirror and the Light on Masterpiece,,Wreckage,"Starring Damian Lewis, Mark Rylance and Claire Foy, this series is a six-part adaptation of Hilary Mantel's novels ""Wolf Hall"" and ""Bring Up the Bodies."" The historical drama follows the story of Thomas Cromwell through his rise in social hierarchy. From his humble beginnings as a blacksmith's son, Cromwell becomes King Henry VIII's chief minister. The episodes chronicle his life as he deals with the power struggles of the Tudor Court and a king who has difficulty producing a male heir."
YES,9.1,2025-03-24,01:00:00,Marie Antoinette,#201,Marie-Antoinette,,The Worst Winter,"An exploration of who Marie Antoinette was, what she thought and what she felt; barely 14 years old when she left Austria to marry the Dauphin in France, she tries to comply with numerous and complicated French rules."
,9.1,2025-03-24,02:00:00,American Experience,#3602,American Experience,#3602,Fly With Me,"""American Experience"" combines dramatic re-enactments with commentary by historians and authors to present an absorbing look at the personalities, events and resources that have had a profound impact on the shaping of America's past and present. Many of the program's documentaries have received major honors in the broadcasting community, including Emmy, Peabodys and duPont-Columbia University awards."
YES,9.1,2025-03-24,04:00:00,Finding Your Roots,#1001,"Finding Your Roots With Henry Louis Gates, Jr.",#1001,Born to Sing,"Educator Henry Louis Gates Jr. has hosted several PBS series that examine U.S. history. In ""Finding Your Roots,"" the Harvard professor continues his quest to ""get into the DNA of American culture."" In each episode, celebrities view ancestral histories, sometimes learn of connections to famous/infamous people, discover secrets, and share the emotional experience with viewers. Analyzing genetic code, DNA diagnosticians trace bloodlines and occasionally debunk long-held beliefs."
,9.1,2025-03-24,05:00:00,Happy Yoga with Sarah Starr,#213,Happy Yoga With Sarah Starr,#213,Rainbow Sunrise,"Yoga can be challenging, especially for beginners who may be apprehensive about trying something that they think is too daunting. Wanting to help those who are new to the exercise, fitness instructor Sarah Starr created an easier routine. Happy Yoga, as she calls it, is a modified program using chairs that allows people of any age or physical condition to be able to benefit from yoga. ""Happy Yoga"" features Starr performing the chair exercises outside, utilizing serene backdrops that showcase Mother Nature's beauty."
,9.1,2025-03-24,05:30:00,Classical Stretch: By Essentrics,#1208,Classical Stretch: By Essentrics,#1208,Long Adductor,Miranda Esmonde-White offers an exercise program for people of all ages and fitness levels.
,9.1,2025-03-24,06:00:00,Cyberchase,#204,Cyberchase,#204,True Colors,"After being warped into Cyberspace from a library computer, Matt leads friends Jackie and Inez as Cybersquad. With live hosts Bianca and Harry, the team must protect Motherboard from the evil Hacker who wants to rule Cyberspace. Using gadgets and following clues, the team solves math mysteries and any other problem that comes their way."
,9.1,2025-03-24,06:30:00,Wild Kratts,#130,Wild Kratts,#130,The Food Chain Game,"This show follows the adventures of animated versions of brothers Chris and Martin Kratt, hosts of such educational shows as ""Kratts' Creatures"" and ""Zoboomafoo."" In the show, the animated Kratts encounter wild animals during stories of adventure and mystery. The live-action Kratt brothers introduce each episode."
,9.1,2025-03-24,07:00:00,Lyla in the Loop,#125,Lyla in the Loop,#125,"Runaway Tarantula; Rainy Day, Indoor Play",Seven-year-old Lyla and her close-knit family address everyday problems together in the big city.
,9.1,2025-03-24,07:30:00,Carl The Collector,#111,Carl the Collector,#111,A Forrest of Plans; The Marble Collection,"The everyday adventures of Carl, an autistic raccoon, who loves collecting things."
,9.1,2025-03-24,08:00:00,Daniel Tiger's Neighborhood,#708,Daniel Tiger's Neighborhood,#708,Daniel and O Make Deliveries; Jodi Makes a Boat With Max,"The first series inspired by ""Mister Rogers Neighborhood,"" ""Daniel Tiger's Neighborhood"" features 4-year-old Daniel Tiger, son of the original program's Daniel Striped Tiger. Every day Daniel puts on his red sweater, ties his shoes, and invites a new generation of preschoolers into the Neighborhood of Make-Believe. Daniel shares his daily adventures with pals O the Owl, Katerina Kittycat, Prince Wednesday and Miss Elaina. With the help of Daniel and his friends, preschoolers have fun and learn practical skills necessary for growing and developing."
,9.1,2025-03-24,08:30:00,Rosie's Rules,#132,Rosie's Rules,#132,Rosie's Switcheroo; Rosie's Family Tree,Five-year-old Mexican American Rosie Fuentes learns how the world around her works in her suburban Texas community.
,9.1,2025-03-24,09:00:00,Sesame Street,#5434,Sesame Street,,The Mystery Cricket,"A longtime favorite of children and adults, and a staple of PBS, ""Sesame Street"" bridges many cultural and educational gaps with a fun program. Big Bird leads a cast of characters teaching children numbers, colors and the alphabet. Bert and Ernie, Oscar the Grouch and Grover are just a few of the other creatures involved in this show, set on a city street full of valuable learning opportunities."
,9.1,2025-03-24,09:30:00,Work It Out Wombats!,#138,Work It Out Wombats!,,Survey Says; Lost and Found Patrol,A playful trio of marsupial siblings look for interesting problems to solve in their Treeborhood.
,9.1,2025-03-24,10:00:00,Donkey Hodie,#207,Donkey Hodie,#207,The Goalies; Mousy Hodie,Donkey Hodie and her pals follow their dreams and work together to find creative solutions to everyday problems.
,9.1,2025-03-24,10:30:00,Pinkalicious & Peterrific,#606,Pinkalicious & Peterrific,#606,Pinkford Has Hiccups; Doodles,"The creative adventures of Pinkalicious and her brother, Peter."
,9.1,2025-03-24,11:00:00,Elinor Wonders Why,#203,Elinor Wonders Why,#203,Spice Is Nice; Ari's Muscles,The adventures of an observant and curious bunny rabbit named Elinor and her friends Ari the bat and Olive the elephant.
